department,page_url,number
원예생명과학과,https://his.pusan.ac.kr/horticulture/21127/subview.do,525
원예생명과학과(취업),https://his.pusan.ac.kr/horticulture/21122/subview.do,90
원예생명과학과(자유),https://his.pusan.ac.kr/horticulture/21131/subview.do,101
동물생명자원과학과,https://animal.pusan.ac.kr/animal/3252/subview.do,805
식품공학과,https://fst.pusan.ac.kr/fst/20152/subview.do,249
생명환경화학과,https://plarts.pusan.ac.kr/plarts/13690/subview.do,586
바이오소재과학과,https://bm.pusan.ac.kr/bm/13191/subview.do,1257
바이오산업기계공학과,https://bime.pusan.ac.kr/bime/8508/subview.do,595
바이오산업기계공학과(취업),https://bime.pusan.ac.kr/bime/8509/subview.do,102
식품자원경제학과,https://agecon.pusan.ac.kr/agecon/13100/subview.do,492
식품자원경제학과(자유),https://agecon.pusan.ac.kr/agecon/13101/subview.do,61
식품자원경제학과(취업),https://agecon.pusan.ac.kr/agecon/13117/subview.do,215
IT응용공학과,https://ite.pusan.ac.kr/ite/13812/subview.do,205
IT응용공학과(취업),https://ite.pusan.ac.kr/ite/13815/subview.do,641
바이오환경에너지학과,https://bee.pusan.ac.kr/bee/13472/subview.do,1859
인문대학 공지사항,https://humanities.pusan.ac.kr/humanities/11352/subview.do,688
국어국문학과(학부),https://bkorea.pusan.ac.kr/bkorea/3346/subview.do,3134
국어국문학과(대학원),https://bkorea.pusan.ac.kr/bkorea/3347/subview.do,1266
국어국문학과(취업),https://bkorea.pusan.ac.kr/bkorea/3350/subview.do,588
국어국문학과(자유),https://bkorea.pusan.ac.kr/bkorea/3351/subview.do,919
일어일문학과(학부),https://japan.pusan.ac.kr/japan/8796/subview.do,2600
일어일문학과(대학원),https://japan.pusan.ac.kr/japan/8797/subview.do,824
일어일문학과(취업),https://japan.pusan.ac.kr/japan/8799/subview.do,914
일어일문학과(장학),https://japan.pusan.ac.kr/japan/8798/subview.do,4
불어불문학과,https://french.pusan.ac.kr/french/5580/subview.do,815
불어불문학과(자유),https://french.pusan.ac.kr/french/5584/subview.do,29
노어노문학과(학부),https://russia.pusan.ac.kr/russia/63860/subview.do,766
노어노문학과(대학원),https://russia.pusan.ac.kr/russia/63861/subview.do,101
노어노문학과(교직),https://russia.pusan.ac.kr/russia/71923/subview.do,71
노어노문학과(취업),https://russia.pusan.ac.kr/russia/63862/subview.do,1239
중어중문학과(학부),https://china.pusan.ac.kr/china/2652/subview.do,948
중어중문학과(대학원),https://china.pusan.ac.kr/china/3083/subview.do,381
중어중문학과(장학),https://china.pusan.ac.kr/china/3084/subview.do,177
영어영문학과(학부),https://pnuenglish.pusan.ac.kr/pnuenglish/8177/subview.do,3257
영어영문학과(대학원),https://pnuenglish.pusan.ac.kr/pnuenglish/8312/subview.do,1017
영어영문학과(취업),https://pnuenglish.pusan.ac.kr/pnuenglish/8313/subview.do,1955
독어독문학과(학부),https://german.pusan.ac.kr/german/3600/subview.do,1282
독어독문학과(취업),https://german.pusan.ac.kr/german/3603/subview.do,1506
독어독문학과(자유),https://german.pusan.ac.kr/german/3604/subview.do,1363
한문학과(학부),https://hanmun.pusan.ac.kr/hanmun/6062/subview.do,1356
한문학과(대학원),https://hanmun.pusan.ac.kr/hanmun/6063/subview.do,129
한문학과(취업),https://hanmun.pusan.ac.kr/hanmun/6084/subview.do,878
언어정보학과,https://linguistics.pusan.ac.kr/linguistics/8764/subview.do,1594
언어정보학과(취업),https://linguistics.pusan.ac.kr/linguistics/8765/subview.do,425
사학과,https://history.pusan.ac.kr/history/6500/subview.do,3576
사학과(대학원),https://history.pusan.ac.kr/history/6510/subview.do,1212
철학과(학부),https://philosophy.pusan.ac.kr/philosophy/17294/subview.do,4229
철학과(대학원),https://philosophy.pusan.ac.kr/philosophy/17297/subview.do,390
철학과(학부 학생회),https://philosophy.pusan.ac.kr/philosophy/71124/subview.do,46
철학과(대학원 학생회),https://philosophy.pusan.ac.kr/philosophy/71125/subview.do,17
고고학과(학부),https://archaeology.pusan.ac.kr/archaeology/3497/subview.do,3144
고고학과(대학원),https://archaeology.pusan.ac.kr/archaeology/3498/subview.do,1098
사회과학대학 공지사항,https://ss.pusan.ac.kr/socio/7572/subview.do,243
행정학과(학부),https://pub-adm.pusan.ac.kr/pub-adm/13892/subview.do,241
행정학과(대학원),https://pub-adm.pusan.ac.kr/pub-adm/13893/subview.do,89
정치외교학과,https://polsci.pusan.ac.kr/polsci/7498/subview.do,1731
정치외교학과(대학원),https://polsci.pusan.ac.kr/polsci/7499/subview.do,10
사회복지학과,https://swf.pusan.ac.kr/swf/13623/subview.do,779
사회학과,https://soc.pusan.ac.kr/soc/9355/subview.do,1533
심리학과,https://psy.pusan.ac.kr/psy/2362/subview.do,273
심리학과(기타),https://psy.pusan.ac.kr/psy/2366/subview.do,274
심리학과(자유),https://psy.pusan.ac.kr/psy/2367/subview.do,49
심리학과(취업),https://psy.pusan.ac.kr/psy/3173/subview.do,104
문헌정보학과(학부),https://lais.pusan.ac.kr/lais/9201/subview.do,434
문헌정보학과(대학원),https://lais.pusan.ac.kr/lais/9202/subview.do,402
문헌정보학과(행사),https://lais.pusan.ac.kr/lais/9203/subview.do,67
문헌정보학과(기타),https://lais.pusan.ac.kr/lais/9204/subview.do,14
문헌정보학과(취업),https://lais.pusan.ac.kr/lais/9205/subview.do,72
미디어커뮤니케이션학과(학부),https://comm.pusan.ac.kr/comm/12531/subview.do,428
미디어커뮤니케이션학과(대학원),https://comm.pusan.ac.kr/comm/12538/subview.do,186
사범대학 공지사항,https://edu.pusan.ac.kr/edu/7853/subview.do,485
국어교육과(학부),https://koredu.pusan.ac.kr/koredu/26185/subview.do,918
국어교육과(대학원),https://koredu.pusan.ac.kr/koredu/26186/subview.do,626
영어교육과(학부),https://englishedu.pusan.ac.kr/englishedupnu/1285/subview.do,945
영어교육과(대학원),https://englishedu.pusan.ac.kr/englishedupnu/3036/subview.do,372
독어교육과,https://geredu.pusan.ac.kr/geredu/1772/subview.do,793
불어교육과,https://fredu.pusan.ac.kr/fredu/13238/subview.do,522
교육학과,https://ed.pusan.ac.kr/ed/2957/subview.do,5835
교육학과(자유),https://ed.pusan.ac.kr/ed/2960/subview.do,473
유아교육과(학부),https://child.pusan.ac.kr/child/4527/subview.do,783
유아교육과(대학원),https://child.pusan.ac.kr/child/4528/subview.do,1085
유아교육과(취업),https://child.pusan.ac.kr/child/4529/subview.do,855
특수교육과,https://special.pusan.ac.kr/special/1654/subview.do,604
특수교육과(취업),https://special.pusan.ac.kr/special/1657/subview.do,57
일반사회교육과,https://socialedu.pusan.ac.kr/socialedu/3541/subview.do,446
일반사회교육과(취업),https://socialedu.pusan.ac.kr/socialedu/3543/subview.do,96
역사교육과,https://hisedu.pusan.ac.kr/hisedu/12452/subview.do,2485
역사교육과(취업),https://hisedu.pusan.ac.kr/hisedu/12453/subview.do,7
지리교육과,https://geoedu.pusan.ac.kr/geoedu/6041/subview.do,1676
윤리교육과,https://ethics.pusan.ac.kr/ethics/4781/subview.do,3695
윤리교육과(취업),https://ethics.pusan.ac.kr/ethics/4784/subview.do,184
수학교육과,https://mathedu.pusan.ac.kr/mathedu/9094/subview.do,3661
수학교육과(자유),https://mathedu.pusan.ac.kr/mathedu/9100/subview.do,2448
수학교육과(취업),https://mathedu.pusan.ac.kr/mathedu/9101/subview.do,3987
물리교육과(학부),https://physedu.pusan.ac.kr/physedu/11861/subview.do,3004
물리교육과(취업),https://physedu.pusan.ac.kr/physedu/11866/subview.do,285
화학교육과,https://chemedu.pusan.ac.kr/chemedu/6345/subview.do,1494
생물교육과(학부),https://edubio.pusan.ac.kr/edubio/2968/subview.do,1686
생물교육과(취업),https://edubio.pusan.ac.kr/edubio/2149/subview.do,45
